元
圓
圆
角
分
级
級
℃
%
米
公里
cm
mm
m
km
千米
斤
千克
公斤
吨
噸
g
kg
克
吨
个
位
张
張
条
條
家
台
次
场
場
岁
歲
GB
MB
TB
kW
kWh
W
Wh
℃
°
K
平米
平方米
立方
套
间
間
辆
日游
段
号厅
号位
号座
人
座
万
度
