early morning	early_morning
late morning	late_morning
mid morning	mid_morning
early afternoon	early_afternoon
late afternoon	late_afternoon
mid afternoon	mid_afternoon
early evening	early_evening
late evening	late_evening
late night	late_night
late tonight	late_night
early night	early_night
nighttime	night
night time	night
breakfast time	breakfast
lunch time	lunch
dinner time	dinner
