壹	一
贰	二
貳	二
叁	三
參	三
肆	四
伍	五
陆	六
陸	六
柒	七
捌	八
玖	九
拾	十
佰	百
仟	千
萬	万
億	亿
兩	两
圓	圆
級	级
噸	吨
張	张
條	条
場	场
歲	岁
間	间
週	周
臺	台
戶	户
筆	笔
冊	册
