weekend	weekend
weekends	weekends
weekday	weekday
weekdays	weekdays
workday	weekday
workdays	weekdays
business day	weekday
business days	weekdays
weekbeginning	weekbeginning
week beginning	weekbeginning
beginning of week	weekbeginning
