monday	0
tuesday	1
wednesday	2
thursday	3
friday	4
saturday	5
sunday	6
mondays	0
tuesdays	1
wednesdays	2
thursdays	3
fridays	4
saturdays	5
sundays	6
mon	0
tue	1
wed	2
thu	3
fri	4
sat	5
sun	6
weekend	5,6
