a m	上午
a.m.	上午
am	上午
A M	上午
AM	上午
p m	下午
p.m.	下午
pm	下午
P M	下午
PM	下午
清晨
早上
上午
中午
下午
当日
傍晚
当晚
晚
晚上
夜间
深夜
午夜
凌晨
黎明
早晨
午后
今早
今晚
明早
明晚
半夜
上半夜
下半夜
后半夜
昨晚
现在
夜里	半夜
