quarter quarter
qtr quarter
q1  1
q2  2
q3  3
q4  4
first quarter   1
second quarter  2
third quarter   3
fourth quarter  4
1st quarter 1
2nd quarter 2
3rd quarter 3
4th quarter 4
1st qtr 1
2nd qtr 2
3rd qtr 3
4th qtr 4
