last year	-1
this year	0
all year	0
current year	0
next year	1
previous year	-1
following year	1
the year before last	-2
the year after next	2
around next year	1
around last year	-1

last quarter	-1
this quarter	0
all quarter	0
current quarter	0
next quarter	1
previous quarter	-1
following quarter	1
around next quarter	1
around last quarter	-1

