a day's plan lies in the morning	a day's plan lies in the morning
second last time	second last time
first time	first time
last time	last time
next time	next time
this time	this time
afternoon tea	afternoon tea
morning meeting	morning meeting
on wedding	on wedding
celebration	celebration

